"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Este test verifica que ambos checkboxes (0 y 1) pueden ser desmarcados correctamente.","252","Verificar que ambos checkboxes pueden ser desmarcados","tests","Sun May 04 00:59:16 UTC 2025","passed","Sun May 04 00:59:16 UTC 2025","TestCheckboxes","test_checkboxes","",""
"Este test verifica que un usuario sin nombre de usuario no pueda iniciar sesión.","377","Login Test - Missing Username","tests","Sun May 04 00:59:18 UTC 2025","failed","Sun May 04 00:59:19 UTC 2025","","test_login","",""
"Este test verifica que un usuario con credenciales válidas pueda iniciar sesión correctamente.","406","Login Test - Valid Credentials","tests","Sun May 04 00:59:17 UTC 2025","passed","Sun May 04 00:59:17 UTC 2025","","test_login","",""
"Este test verifica que el checkbox 1 debería estar marcado por defecto al abrir la página.","176","Verificar que el checkbox 1 está marcado por defecto","tests","Sun May 04 00:59:15 UTC 2025","passed","Sun May 04 00:59:15 UTC 2025","TestCheckboxes","test_checkboxes","",""
"Este test verifica que el checkbox 0 se puede marcar y desmarcar correctamente.","462","Verificar que el checkbox 0 se puede marcar y desmarcar","tests","Sun May 04 00:59:14 UTC 2025","passed","Sun May 04 00:59:14 UTC 2025","TestCheckboxes","test_checkboxes","",""
"Este test verifica que un usuario con credenciales inválidas no pueda iniciar sesión.","393","Login Test - Invalid Credentials","tests","Sun May 04 00:59:17 UTC 2025","passed","Sun May 04 00:59:18 UTC 2025","","test_login","",""
"Este test verifica que ambos checkboxes (0 y 1) pueden ser marcados correctamente.","250","Verificar que ambos checkboxes pueden ser marcados","tests","Sun May 04 00:59:15 UTC 2025","passed","Sun May 04 00:59:16 UTC 2025","TestCheckboxes","test_checkboxes","",""
